match_id,home_team,away_team,date,home_goals,away_goals,baseline_home,baseline_draw,baseline_away,llm_home,llm_draw,llm_away,llm_confidence,parse_method,skipped_web_search,iteration_count,web_searches_performed,has_kg_insights,actual_outcome,baseline_correct,llm_correct,baseline_brier,llm_brier
107,Arsenal,Watford,2021-11-07,1,0,0.6871,0.1966,0.1163,0.75,0.2,0.05,high,exact_format,False,1,5,True,H,True,True,0.1501,0.105
110,West Ham United,Liverpool,2021-11-07,3,2,0.2075,0.2345,0.558,0.3,0.35,0.35,low,exact_format,False,2,5,True,H,False,False,0.9944,0.735
111,Leicester City,Chelsea,2021-11-20,0,3,0.2,0.2593,0.5407,0.25,0.3,0.45,medium,exact_format,False,1,5,True,A,True,True,0.3182,0.455
117,Wolverhampton,West Ham United,2021-11-20,1,0,0.3162,0.2941,0.3898,0.325,0.4,0.275,medium,exact_format,False,1,5,True,H,False,False,0.706,0.6913
132,Southampton,Leicester City,2021-12-01,2,2,0.3986,0.2753,0.3261,0.35,0.3,0.35,medium,exact_format,False,1,5,True,D,False,False,0.7904,0.735
135,Wolverhampton,Burnley,2021-12-01,0,0,0.4975,0.2796,0.223,0.4,0.35,0.25,medium,exact_format,False,1,5,True,D,False,False,0.8162,0.645
141,Newcastle United,Burnley,2021-12-04,1,0,0.4144,0.2852,0.3004,0.55,0.25,0.2,medium,exact_format,False,1,5,True,H,True,True,0.5145,0.305
144,Watford,Manchester City,2021-12-04,1,3,0.0706,0.1331,0.7963,0.05,0.3,0.65,medium,exact_format,True,1,0,True,A,True,True,0.0642,0.215
152,Arsenal,Southampton,2021-12-11,3,0,0.5791,0.2403,0.1805,0.65,0.2,0.15,high,exact_format,False,1,5,True,H,True,True,0.2675,0.185
159,Norwich City,Aston Villa,2021-12-14,0,2,0.2847,0.2959,0.4193,0.3,0.35,0.35,medium,exact_format,False,1,5,True,A,True,True,0.5058,0.635
164,Chelsea,Everton,2021-12-16,1,1,0.7689,0.1568,0.0743,0.8,0.15,0.05,medium,exact_format,True,1,0,True,D,False,False,1.3077,1.365
165,Liverpool,Newcastle United,2021-12-16,3,1,0.852,0.1038,0.0442,0.855,0.108,0.037,medium,exact_format,True,1,0,True,H,True,True,0.0346,0.0341
168,Wolverhampton,Chelsea,2021-12-19,0,0,0.1462,0.2447,0.6091,0.25,0.3,0.45,low,exact_format,False,2,5,True,D,False,False,0.9629,0.755
174,Aston Villa,Chelsea,2021-12-26,1,3,0.1789,0.2542,0.5669,0.22,0.3,0.48,medium,exact_format,False,2,5,True,A,True,True,0.2842,0.4088
196,Newcastle United,Watford,2022-01-15,1,1,0.4681,0.2666,0.2653,0.55,0.25,0.2,medium,exact_format,False,1,5,True,D,False,False,0.8274,0.905
252,Crystal Palace,Burnley,2022-02-26,1,1,0.4915,0.2801,0.2284,0.55,0.25,0.2,medium,exact_format,False,1,5,True,D,False,False,0.812,0.905
278,Southampton,Watford,2022-03-13,1,2,0.5956,0.2328,0.1716,0.45,0.3,0.25,low,exact_format,False,2,5,True,A,False,False,1.0952,0.855
281,Crystal Palace,Manchester City,2022-03-14,0,0,0.0969,0.1793,0.7238,0.2,0.3,0.5,low,exact_format,False,2,5,True,D,False,False,1.2068,0.78
303,Southampton,Chelsea,2022-04-09,0,6,0.2398,0.2616,0.4986,0.3,0.25,0.45,medium,exact_format,False,1,5,True,A,True,True,0.3773,0.455
309,Manchester City,Liverpool,2022-04-10,2,2,0.4684,0.2607,0.2709,0.55,0.25,0.2,medium,exact_format,False,1,5,True,D,False,False,0.8393,0.905
311,Manchester United,Norwich City,2022-04-16,3,2,0.7711,0.1506,0.0783,0.75,0.2,0.05,high,exact_format,True,1,0,True,H,True,True,0.0812,0.105
326,Brentford,Tottenham Hotspur,2022-04-23,0,0,0.2229,0.265,0.5121,0.32,0.3,0.38,low,exact_format,False,2,5,True,D,False,False,0.8522,0.7368
327,Brighton & Hove Albion,Southampton,2022-04-24,2,2,0.4431,0.2887,0.2682,0.45,0.32,0.23,medium,exact_format,False,1,5,True,D,False,False,0.7742,0.7178
335,Southampton,Crystal Palace,2022-04-30,1,2,0.3995,0.2878,0.3127,0.32,0.3,0.38,medium,exact_format,False,1,5,True,A,False,True,0.7148,0.5768
339,Everton,Chelsea,2022-05-01,1,0,0.1981,0.2598,0.5421,0.22,0.3,0.48,medium,exact_format,False,1,5,True,H,False,False,1.0044,0.9288
343,Brentford,Southampton,2022-05-07,3,0,0.4382,0.2792,0.2826,0.55,0.25,0.2,medium,exact_format,False,1,5,True,H,True,True,0.4734,0.305
359,Tottenham Hotspur,Burnley,2022-05-15,1,0,0.7151,0.1809,0.104,0.65,0.2,0.15,medium,exact_format,False,1,5,True,H,True,True,0.1247,0.185
366,Newcastle United,Arsenal,2022-05-16,2,0,0.2274,0.2625,0.5102,0.35,0.3,0.35,low,exact_format,False,2,5,True,H,False,True,0.9261,0.635
367,Southampton,Liverpool,2022-05-17,1,2,0.1218,0.1769,0.7013,0.15,0.3,0.55,medium,exact_format,False,1,5,True,A,True,True,0.1354,0.315
372,Brentford,Leeds United,2022-05-22,1,2,0.3944,0.2582,0.3474,0.405,0.318,0.277,medium,exact_format,False,1,5,True,A,False,False,0.6481,0.7879
373,Brighton & Hove Albion,West Ham United,2022-05-22,3,1,0.4009,0.2713,0.3277,0.35,0.4,0.25,medium,exact_format,False,1,5,True,H,True,False,0.5399,0.645
